U 52 | F 106496 | FPS 0676 | D 161 | rR:μσmM 0.91 0.04 0.74 0.96 | F:μσmM 33.9 13.9 16.0 93.0 | H 1.452 | V 0.747 | pL -0.013 | vL 0.003 | ∇ 0.059
U 52 | F 106496 | FPS 0676 | D 162 | rR:μσmM 0.93 0.02 0.83 0.96 | F:μσmM 26.4 8.6 16.0 62.0 | H 1.295 | V 0.791 | pL -0.023 | vL 0.002 | ∇ 0.058
U 53 | F 108544 | FPS 0686 | D 164 | rR:μσmM 0.91 0.04 0.66 0.96 | F:μσmM 31.0 15.2 15.0 121.0 | H 1.365 | V 0.765 | pL -0.017 | vL 0.003 | ∇ 0.046
U 53 | F 108544 | FPS 0671 | D 165 | rR:μσmM 0.92 0.02 0.83 0.96 | F:μσmM 27.6 8.9 15.0 62.0 | H 1.325 | V 0.796 | pL -0.008 | vL 0.002 | ∇ 0.037
U 54 | F 110592 | FPS 0684 | D 167 | rR:μσmM 0.93 0.02 0.88 0.96 | F:μσmM 25.1 5.5 14.0 43.0 | H 1.358 | V 0.803 | pL -0.027 | vL 0.001 | ∇ 0.034
U 54 | F 110592 | FPS 0671 | D 168 | rR:μσmM 0.92 0.03 0.84 0.96 | F:μσmM 27.5 9.3 15.0 58.0 | H 1.333 | V 0.805 | pL -0.001 | vL 0.002 | ∇ 0.041
U 55 | F 112640 | FPS 0681 | D 170 | rR:μσmM 0.92 0.02 0.83 0.95 | F:μσmM 28.3 8.5 17.0 62.0 | H 1.431 | V 0.796 | pL 0.002 | vL 0.002 | ∇ 0.037
U 55 | F 112640 | FPS 0673 | D 172 | rR:μσmM 0.92 0.03 0.79 0.96 | F:μσmM 28.0 9.0 16.0 75.0 | H 1.397 | V 0.799 | pL 0.007 | vL 0.002 | ∇ 0.028
U 56 | F 114688 | FPS 0683 | D 173 | rR:μσmM 0.92 0.02 0.81 0.95 | F:μσmM 28.8 8.1 19.0 67.0 | H 1.456 | V 0.797 | pL 0.005 | vL 0.001 | ∇ 0.032
U 56 | F 114688 | FPS 0673 | D 176 | rR:μσmM 0.92 0.03 0.82 0.96 | F:μσmM 29.7 9.9 16.0 65.0 | H 1.401 | V 0.786 | pL 0.008 | vL 0.002 | ∇ 0.036
